title,author,預購專案,群眾募資,音樂,攝影,出版,時尚,設計,表演,藝術,科技,教育,遊戲,飲食,空間,社會,插畫漫畫,電影動畫,地方創生,挺好店,新春賀喜,money,time_left,image,video,sponsor_num,target,duration,comment_num,QA_num,website,yt,fb,ig,set_num,set_price
SOK 改︱溫控伸縮式按摩棒︱ 什麼情趣玩具即將流行︱幾乎每個女孩都要有︱欲仙欲死的秘密,SOK TOYS,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50630,success,16,1,33,30000,14340,0,10.0,0,0,0,0,3,"[1390, 1590, 2480]"
丹麥爸媽也瘋狂的 MODU 變形積木｜6 個月玩到 6 歲、從房間玩到水上，陪娃瘋到底的超級玩具！,MODU TAIWAN (QBEAN),1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3701271,success,38,3,438,100000,14340,7,,1,0,0,0,16,"[8990, 8990, 6000, 18000, 4200, 4200, 4200, 6000, 6000, 8250, 8250, 8250, 8800, 8800, 8800, 8990]"
小沐智能觸控式 FHD高畫質投影機｜追劇新體驗，家庭劇院的第一首選，讓牆面一秒變大平板！,Muigic沐居 x 小沐良品,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3315569,success,56,3,604,100000,14340,17,16.0,1,1,1,1,10,"[10800, 19800, 48500, 96000, 390, 299, 350, 9900, 19200, 20400]"
MAGICON 智慧巡航無線充 - 新一代的無線充電，自動定位，智慧溫控不發熱，顛覆您對無線充電的印象，讓您從此愛上她,MAGICON 團隊,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,118534,success,35,1,61,100000,14340,4,4.0,1,1,1,0,6,"[1299, 2468, 1369, 2658, 3888, 6188]"
一秒掀蓋！MIT 3D光學可調式面罩,龍門車工有限公司,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28900,success,43,3,26,10000,14340,0,7.0,0,0,0,0,8,"[550, 900, 4000, 7500, 600, 1000, 4500, 8000]"
Yep Cat Litter Scoop 爺的貓砂鏟 〔專為礦砂／豆腐砂設計的快篩式貓砂鏟，篩沙就是快〕,Hulumao,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,191732,success,45,1,293,80000,14340,2,5.0,1,1,1,1,9,"[448, 1374, 874, 2070, 3920, 764, 392, 948, 392]"
A.S.O零滲透鞋防水鞋│Zero moisture-Tex™科技布料，不只乾爽更要透氣,阿瘦實業股份有限公司,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,416860,success,20,4,148,50000,14340,8,13.0,1,0,1,0,6,"[3880, 1980, 2080, 3680, 1880, 4080]"
野小獸健腹輪 Lite | 從核心開始鍛煉，打造精準易瘦體質,野小獸 YESOUL,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2031842,success,39,1,1448,100000,14340,28,,0,0,1,0,7,"[1399, 2698, 1599, 1299, 2598, 1399, 2698]"
【中秋藏月茶禮】凝聚你的心意與美好祝福,吉品香有限公司,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50225,success,26,0,20,50000,14340,0,6.0,1,0,1,0,6,"[1299, 7080, 17920, 38880, 1180, 1080]"
全能超神【JIA晶釉瓷鍋具組】煙燻玫瑰金 絕美新色登場,JIA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,240560,success,37,1,65,100000,14340,0,6.0,1,1,1,1,7,"[3104, 3840, 3104, 3840, 3104, 3840, 3840]"
【Kakahong 甜點 x 手作】燕麥堅果餅乾禮盒｜高纖、天然、健康｜無罪惡感的零食與能量補給,吳芳瑜,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33120,success,9,0,46,5000,14340,0,6.0,1,0,1,1,1,[720]
